               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.021357,           0.0067879,           0.0020705,             0.96701,             0.97185,             0.97518,             0.79956,            0.015474,           0.0046986,           0.0054766,            0.008845,            0.008845,            0.008845
                  37,            0.020529,           0.0068785,            0.001825,             0.96435,             0.97509,             0.97952,             0.84249,            0.015713,           0.0044082,           0.0046407,            0.008812,            0.008812,            0.008812
                  38,            0.019959,           0.0067175,           0.0020733,             0.97476,             0.97751,              0.9775,              0.8296,            0.015187,           0.0045165,           0.0040237,            0.008779,            0.008779,            0.008779
                  39,            0.019768,            0.006737,           0.0020837,             0.97215,             0.97928,             0.97294,             0.79384,            0.017958,           0.0052226,           0.0037771,            0.008746,            0.008746,            0.008746
                  40,            0.019794,             0.00678,           0.0019361,             0.98074,             0.98162,             0.97902,             0.79406,            0.018018,           0.0045658,           0.0030985,            0.008713,            0.008713,            0.008713
                  41,            0.019737,           0.0068765,           0.0016855,             0.97583,             0.97289,             0.97752,             0.81982,            0.016049,           0.0046287,            0.003986,             0.00868,             0.00868,             0.00868
                  42,            0.018989,           0.0068277,            0.002139,             0.97371,             0.98485,             0.97645,             0.82439,            0.016333,           0.0043167,           0.0038245,            0.008647,            0.008647,            0.008647
                  43,            0.020113,            0.006871,           0.0019875,             0.96531,             0.98197,             0.97629,             0.83461,            0.014142,            0.004361,           0.0044444,            0.008614,            0.008614,            0.008614
                  44,            0.019435,           0.0066507,           0.0018767,             0.97035,             0.98744,              0.9801,             0.84313,            0.013968,           0.0044974,           0.0034631,            0.008581,            0.008581,            0.008581
                  45,             0.01879,           0.0066411,           0.0022444,             0.97656,             0.97938,             0.97593,             0.82988,            0.014277,           0.0044072,           0.0039581,            0.008548,            0.008548,            0.008548
                  46,            0.019525,           0.0066713,           0.0015931,             0.97876,             0.97577,             0.97429,             0.82489,             0.01431,           0.0042828,           0.0044463,            0.008515,            0.008515,            0.008515
                  47,            0.018838,           0.0069026,           0.0018604,             0.96816,             0.98095,             0.97781,              0.8065,            0.016576,           0.0048196,           0.0049735,            0.008482,            0.008482,            0.008482
                  48,            0.018145,           0.0065085,           0.0021273,             0.97806,             0.98115,             0.97861,             0.79012,            0.016857,           0.0047106,           0.0035206,            0.008449,            0.008449,            0.008449
                  49,            0.018698,           0.0063432,           0.0019636,             0.98175,             0.97855,               0.981,             0.84346,            0.013849,           0.0042419,           0.0036168,            0.008416,            0.008416,            0.008416
                  50,            0.018389,           0.0064838,           0.0018944,             0.98042,             0.98141,             0.98117,             0.83983,            0.014192,           0.0043782,           0.0036029,            0.008383,            0.008383,            0.008383
                  51,            0.018084,           0.0065819,            0.001874,              0.9779,             0.98633,             0.98021,             0.84207,            0.014224,           0.0043098,            0.003239,             0.00835,             0.00835,             0.00835
                  52,            0.017921,           0.0066165,            0.001394,             0.97746,             0.98744,             0.97717,             0.82541,            0.014215,           0.0040746,           0.0037228,            0.008317,            0.008317,            0.008317
                  53,            0.018682,           0.0066256,           0.0014113,             0.96661,             0.96296,             0.97132,             0.84961,             0.01317,           0.0041188,            0.005321,            0.008284,            0.008284,            0.008284
                  54,            0.018351,           0.0064155,           0.0019472,             0.97641,             0.97554,             0.97895,             0.84563,            0.014374,           0.0043041,           0.0035946,            0.008251,            0.008251,            0.008251
                  55,            0.018255,            0.006664,           0.0019475,             0.97085,             0.98341,             0.97982,             0.85655,            0.013406,           0.0041234,           0.0036728,            0.008218,            0.008218,            0.008218
                  56,            0.018114,           0.0063678,           0.0018093,             0.97288,             0.98028,             0.97421,             0.82764,             0.01609,            0.004311,           0.0037386,            0.008185,            0.008185,            0.008185
                  57,            0.017319,           0.0063274,           0.0015626,             0.97997,             0.97648,             0.97681,             0.82219,            0.016193,            0.004462,           0.0039883,            0.008152,            0.008152,            0.008152
                  58,            0.017519,           0.0065652,           0.0014481,             0.97161,             0.96429,             0.96972,             0.82224,            0.015264,           0.0042093,           0.0043563,            0.008119,            0.008119,            0.008119
                  59,            0.017033,           0.0063016,           0.0017098,             0.97176,             0.98165,             0.97634,             0.84364,            0.014224,           0.0041151,           0.0043088,            0.008086,            0.008086,            0.008086
                  60,            0.017261,             0.00639,           0.0017344,             0.96722,             0.96141,             0.97241,             0.79202,            0.016284,           0.0050654,           0.0052415,            0.008053,            0.008053,            0.008053
                  61,            0.017687,           0.0064748,             0.00175,              0.9693,              0.9723,             0.97553,             0.79261,            0.016731,            0.004447,           0.0038488,             0.00802,             0.00802,             0.00802
                  62,            0.017499,           0.0063588,           0.0014975,             0.97145,             0.97562,             0.97699,             0.83028,             0.01368,           0.0044004,           0.0049519,            0.007987,            0.007987,            0.007987
                  63,            0.017072,           0.0061262,           0.0017085,             0.98302,             0.98429,             0.97917,             0.85565,             0.01302,           0.0040406,           0.0034779,            0.007954,            0.007954,            0.007954
                  64,             0.01669,            0.005818,           0.0019204,             0.98023,             0.98167,             0.97864,             0.85837,            0.013914,            0.003998,           0.0032316,            0.007921,            0.007921,            0.007921
                  65,            0.016982,           0.0063237,           0.0014921,             0.97289,             0.98714,             0.98326,             0.84751,             0.01359,           0.0040723,           0.0029644,            0.007888,            0.007888,            0.007888
                  66,            0.017117,           0.0062107,           0.0014836,             0.97653,             0.96954,             0.97381,             0.83599,            0.014096,           0.0041416,           0.0041881,            0.007855,            0.007855,            0.007855
                  67,            0.016498,           0.0061207,           0.0015017,             0.97247,               0.978,             0.97258,             0.82983,             0.01439,            0.004096,           0.0043132,            0.007822,            0.007822,            0.007822
                  68,            0.016386,           0.0061971,              0.0014,             0.97763,             0.97832,             0.97493,             0.84928,            0.013578,           0.0040053,           0.0040909,            0.007789,            0.007789,            0.007789
                  69,            0.015964,           0.0059552,           0.0014522,             0.98252,             0.98443,             0.97875,             0.84918,            0.013627,           0.0039997,           0.0035863,            0.007756,            0.007756,            0.007756
                  70,            0.016712,            0.006294,           0.0012343,             0.97671,             0.98028,             0.97507,             0.83989,            0.013544,           0.0041369,            0.003811,            0.007723,            0.007723,            0.007723
                  71,            0.016797,           0.0062185,           0.0013503,             0.97935,             0.98115,             0.97733,             0.83033,            0.014445,           0.0042666,           0.0039221,             0.00769,             0.00769,             0.00769
                  72,            0.016644,           0.0063565,           0.0014186,             0.97783,             0.98057,             0.97869,             0.84823,             0.01279,           0.0041345,           0.0036893,            0.007657,            0.007657,            0.007657
                  73,            0.015974,           0.0059833,            0.001441,             0.97108,               0.954,             0.97411,              0.8491,            0.013569,           0.0040247,           0.0056388,            0.007624,            0.007624,            0.007624
                  74,            0.016383,           0.0060774,           0.0014617,             0.98254,               0.984,             0.97779,             0.84061,            0.013638,           0.0042777,            0.003691,            0.007591,            0.007591,            0.007591
                  75,            0.016213,           0.0061009,           0.0016768,             0.97847,             0.97671,             0.97574,              0.8335,            0.013176,           0.0039475,            0.004016,            0.007558,            0.007558,            0.007558
                  76,            0.015683,            0.006075,           0.0011645,             0.97767,             0.98135,             0.97311,             0.83815,            0.013979,            0.004162,           0.0040406,            0.007525,            0.007525,            0.007525
                  77,            0.016058,           0.0060073,           0.0016648,             0.97703,             0.98135,             0.97513,             0.81444,            0.015209,           0.0042633,           0.0040809,            0.007492,            0.007492,            0.007492
                  78,             0.01588,           0.0058928,            0.001393,             0.97092,             0.97366,             0.97009,             0.83774,            0.014246,           0.0039388,           0.0039537,            0.007459,            0.007459,            0.007459
                  79,            0.016214,           0.0059626,           0.0014009,              0.9772,             0.98115,             0.97757,             0.86044,            0.012623,           0.0039123,           0.0039861,            0.007426,            0.007426,            0.007426
                  80,             0.01582,           0.0058556,           0.0013557,             0.97244,             0.98115,             0.97382,             0.84009,            0.013384,           0.0041478,            0.004187,            0.007393,            0.007393,            0.007393
                  81,            0.015654,           0.0056878,           0.0013049,             0.97654,             0.98121,             0.97366,             0.85523,            0.012794,           0.0041322,           0.0037985,             0.00736,             0.00736,             0.00736
                  82,            0.015608,           0.0059144,           0.0012394,             0.97734,             0.97813,             0.98452,              0.8497,            0.013895,           0.0040669,           0.0031196,            0.007327,            0.007327,            0.007327
                  83,            0.015791,           0.0056875,          0.00098261,             0.97212,             0.97833,             0.97274,             0.85133,            0.012775,           0.0038012,           0.0044279,            0.007294,            0.007294,            0.007294
                  84,            0.015469,           0.0057207,           0.0013013,             0.97917,             0.98017,             0.97601,             0.83693,            0.013985,           0.0043901,           0.0037749,            0.007261,            0.007261,            0.007261
                  85,            0.014974,           0.0057614,            0.001358,             0.97706,              0.9751,             0.97923,             0.83161,            0.013708,           0.0041937,           0.0043671,            0.007228,            0.007228,            0.007228
                  86,            0.015353,           0.0058374,            0.001144,             0.97832,             0.98429,             0.97814,             0.83153,             0.01353,           0.0042369,           0.0038332,            0.007195,            0.007195,            0.007195
                  87,            0.015191,           0.0059073,            0.001292,             0.96676,             0.97713,             0.96921,             0.82924,            0.013421,           0.0042681,           0.0039921,            0.007162,            0.007162,            0.007162
                  88,            0.015577,           0.0056747,           0.0011739,             0.96371,             0.97204,             0.97593,             0.81464,            0.014765,           0.0042392,           0.0041865,            0.007129,            0.007129,            0.007129
                  89,            0.014729,           0.0056931,            0.001486,             0.97339,             0.97215,             0.97517,             0.83718,            0.013621,           0.0041513,           0.0046098,            0.007096,            0.007096,            0.007096
                  90,            0.015275,           0.0058084,           0.0012331,             0.97985,             0.98141,              0.9744,             0.85568,            0.012466,           0.0039301,           0.0039093,            0.007063,            0.007063,            0.007063
                  91,            0.014826,           0.0056928,           0.0013845,             0.97686,              0.9821,             0.97444,             0.85707,            0.012658,           0.0039194,           0.0038534,             0.00703,             0.00703,             0.00703
                  92,            0.015096,           0.0056289,           0.0010434,             0.97527,             0.98138,             0.97382,             0.85966,            0.012169,           0.0038942,           0.0038755,            0.006997,            0.006997,            0.006997
                  93,            0.014637,           0.0056267,           0.0011151,             0.97664,             0.98158,             0.97586,             0.85894,            0.012037,           0.0037562,           0.0038458,            0.006964,            0.006964,            0.006964
                  94,            0.014773,           0.0057323,           0.0012397,             0.97656,             0.97934,             0.97212,             0.86244,            0.012395,           0.0039306,           0.0039708,            0.006931,            0.006931,            0.006931
                  95,            0.014468,           0.0054277,           0.0015647,             0.97168,             0.96419,             0.97475,             0.85359,            0.012316,           0.0038064,           0.0052617,            0.006898,            0.006898,            0.006898
                  96,            0.015031,           0.0057558,            0.001111,              0.9755,             0.98182,             0.97514,             0.85903,             0.01296,           0.0038674,            0.004005,            0.006865,            0.006865,            0.006865
                  97,            0.014915,           0.0058463,           0.0012387,             0.97904,             0.98744,             0.97681,             0.84989,            0.013067,           0.0038232,           0.0036147,            0.006832,            0.006832,            0.006832
