               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.022632,           0.0095848,           0.0023885,              0.9755,             0.97491,             0.98544,             0.78278,            0.014983,           0.0055203,           0.0041241,            0.008845,            0.008845,            0.008845
                  37,            0.021849,           0.0095426,           0.0025996,             0.98337,             0.97938,             0.97785,             0.82589,            0.012421,           0.0052826,           0.0042871,            0.008812,            0.008812,            0.008812
                  38,            0.021583,           0.0094231,           0.0024126,             0.98253,             0.97405,             0.97997,             0.80991,            0.012519,           0.0052748,           0.0046919,            0.008779,            0.008779,            0.008779
                  39,            0.022036,           0.0095719,           0.0022745,             0.96591,             0.98115,             0.97768,             0.82112,            0.012734,           0.0052652,           0.0054398,            0.008746,            0.008746,            0.008746
                  40,            0.021133,           0.0096652,           0.0025499,             0.97639,             0.97819,             0.98245,             0.82095,            0.013399,           0.0053129,           0.0047888,            0.008713,            0.008713,            0.008713
                  41,            0.021495,           0.0094949,           0.0023232,             0.98283,             0.98429,             0.98275,             0.84052,            0.011868,           0.0050671,           0.0038396,             0.00868,             0.00868,             0.00868
                  42,            0.021677,           0.0093472,           0.0023153,             0.97761,             0.97554,             0.98063,              0.7858,            0.014062,            0.005476,           0.0039225,            0.008647,            0.008647,            0.008647
                  43,            0.021116,            0.009376,           0.0024599,             0.98122,             0.97994,             0.98012,             0.84125,            0.011049,           0.0050297,           0.0044763,            0.008614,            0.008614,            0.008614
                  44,            0.021403,           0.0093828,           0.0024674,             0.98258,             0.98115,              0.9762,             0.80598,            0.013063,           0.0053856,           0.0046197,            0.008581,            0.008581,            0.008581
                  45,            0.020877,           0.0095793,           0.0022427,              0.9812,             0.98429,             0.98265,             0.81391,            0.012194,           0.0052359,           0.0036803,            0.008548,            0.008548,            0.008548
                  46,            0.020629,           0.0091825,           0.0021829,             0.98278,             0.98478,             0.98177,             0.82501,            0.012035,           0.0052788,           0.0039022,            0.008515,            0.008515,            0.008515
                  47,            0.020608,           0.0091021,           0.0025135,             0.98231,             0.98581,             0.98052,             0.82758,            0.011912,           0.0049131,           0.0039354,            0.008482,            0.008482,            0.008482
                  48,            0.020629,           0.0093764,           0.0023769,             0.98118,             0.98152,             0.98246,             0.84535,            0.010576,           0.0051227,           0.0043303,            0.008449,            0.008449,            0.008449
                  49,            0.020914,           0.0093248,           0.0021698,              0.9803,             0.97486,             0.97984,             0.84305,            0.011716,           0.0051637,            0.004285,            0.008416,            0.008416,            0.008416
                  50,            0.020373,           0.0090673,           0.0021517,             0.98322,              0.9786,             0.97944,             0.81587,            0.012006,           0.0051064,           0.0040977,            0.008383,            0.008383,            0.008383
                  51,            0.020637,           0.0091767,           0.0021767,             0.98042,             0.97195,             0.97839,             0.84009,            0.012689,           0.0053854,           0.0054298,             0.00835,             0.00835,             0.00835
                  52,            0.020081,           0.0089782,           0.0023006,             0.97901,             0.98384,             0.98435,              0.8301,            0.011502,           0.0051935,           0.0039875,            0.008317,            0.008317,            0.008317
                  53,            0.020288,           0.0092088,           0.0020318,             0.98294,             0.98238,             0.98243,             0.82221,            0.011341,           0.0050559,           0.0042604,            0.008284,            0.008284,            0.008284
                  54,            0.020276,           0.0090516,           0.0020869,             0.97948,               0.978,             0.98177,               0.823,            0.011585,           0.0051889,           0.0045684,            0.008251,            0.008251,            0.008251
                  55,            0.019939,           0.0090239,           0.0021513,             0.97704,             0.98429,             0.98245,              0.8453,            0.010876,           0.0048413,           0.0044832,            0.008218,            0.008218,            0.008218
                  56,            0.019756,           0.0089781,           0.0019717,             0.97248,             0.97958,             0.97811,             0.83976,            0.011289,           0.0051639,           0.0042423,            0.008185,            0.008185,            0.008185
                  57,            0.019593,           0.0091278,           0.0019599,             0.97747,             0.98206,             0.98302,             0.83887,            0.011498,           0.0050542,            0.004643,            0.008152,            0.008152,            0.008152
                  58,            0.019995,           0.0090359,           0.0018508,              0.9708,               0.976,              0.9826,             0.81078,            0.013749,           0.0051329,           0.0036648,            0.008119,            0.008119,            0.008119
                  59,            0.019665,           0.0087787,           0.0019259,             0.98275,             0.98429,             0.98342,             0.80425,            0.013134,           0.0051656,           0.0038608,            0.008086,            0.008086,            0.008086
                  60,            0.019296,           0.0086809,           0.0020089,             0.97874,             0.96774,             0.97671,             0.82234,            0.011531,           0.0049689,           0.0042755,            0.008053,            0.008053,            0.008053
                  61,            0.019699,           0.0087802,            0.001917,             0.97945,             0.98115,             0.98071,             0.84134,             0.01087,           0.0049183,           0.0037497,             0.00802,             0.00802,             0.00802
                  62,            0.019249,           0.0091228,           0.0020104,              0.9808,             0.97931,             0.97868,             0.83911,            0.011008,           0.0048106,           0.0041518,            0.007987,            0.007987,            0.007987
                  63,            0.019129,           0.0090781,           0.0018979,             0.97225,             0.98744,             0.98327,             0.81739,            0.013176,           0.0051925,           0.0040702,            0.007954,            0.007954,            0.007954
                  64,            0.019329,           0.0087494,            0.001903,             0.98189,             0.98429,             0.97803,             0.82651,            0.012289,           0.0050149,           0.0042341,            0.007921,            0.007921,            0.007921
                  65,            0.019243,           0.0088721,           0.0021397,              0.9778,             0.97417,             0.97885,             0.82881,            0.011876,           0.0049629,           0.0035646,            0.007888,            0.007888,            0.007888
                  66,            0.019056,           0.0087551,            0.001891,             0.97954,              0.9848,              0.9826,             0.84998,            0.010391,           0.0046647,           0.0038577,            0.007855,            0.007855,            0.007855
                  67,            0.018785,           0.0083421,           0.0017187,             0.97913,               0.978,              0.9799,             0.85332,            0.010389,           0.0049794,           0.0038843,            0.007822,            0.007822,            0.007822
                  68,            0.019047,           0.0087041,            0.001847,             0.97972,             0.97627,             0.97854,             0.84399,            0.011513,           0.0049267,           0.0046679,            0.007789,            0.007789,            0.007789
                  69,            0.018976,           0.0086422,           0.0018657,             0.97585,             0.98192,             0.98123,              0.8547,            0.010254,           0.0048394,           0.0049213,            0.007756,            0.007756,            0.007756
                  70,            0.018994,           0.0087261,            0.001871,             0.98185,             0.98258,             0.98295,             0.84552,            0.010439,           0.0045476,            0.003942,            0.007723,            0.007723,            0.007723
                  71,            0.018637,           0.0087034,           0.0018263,             0.98131,             0.97595,              0.9862,             0.85223,            0.010528,           0.0046408,           0.0034323,             0.00769,             0.00769,             0.00769
                  72,            0.018906,           0.0086343,           0.0018208,             0.98213,             0.98115,             0.97995,              0.8346,            0.011151,           0.0048993,           0.0044308,            0.007657,            0.007657,            0.007657
